Identificador;Item;Fecha;Estado;NCM-SIM;Exportador;Localidad;Tipo de Dato;Fecha Cumplido;Fecha Cargado;Destinación;Aduana;Via Transporte;País de Destino;Aduana de Destino;U$S Unitario;U$S FOB;Flete U$S;Seguro;Cantidad;Unidad;Kgs. Netos;Item;Marca - Sufijos;Cantidad;Unitario Divisa;FOB Divisa;Moneda Divisa;Condición de Venta;Marca o Descripcion;Descripcion Arancelaria
22001EC01063348X;1;44799;OFIC;0713.33.29.112B;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1122.17;17056.98;3007.01;0;15.2;TONELADA;15200;0;MARCA: SWISS AGRO EXPORT SA;15.2;1122.17;17056.98;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063349J;1;44799;OFIC;0713.33.29.111Z;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1151.13;132379.95;23249.55;0;115;TONELADA;115000;0;MARCA: SWISS AGRO EXPORT SA;115;1151.13;132379.95;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063351C;1;44799;OFIC;0713.33.29.111Z;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1134.35;26090.05;4499.95;0;23;TONELADA;23000;0;MARCA: SWISS AGRO EXPORT SA;23;1134.35;26090.05;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063352D;1;44799;OFIC;0713.33.29.111Z;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1093.48;50300.08;9039.92;0;46;TONELADA;46000;0;MARCA: SWISS AGRO EXPORT SA;46;1093.48;50300.08;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063412A;1;44799;OFIC;0713.33.29.111Z;ARGENCROPS S.A.;SAN SALVADOR DE;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);982.17;11294.96;0;0;11.5;TONELADA;11500;0;MARCA: ARGENCROPS;11.5;982.17;11294.96;DOLAR USA;FOB;AA(ARGENCROPS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063412A;2;44799;OFIC;0713.33.29.112B;ARGENCROPS S.A.;SAN SALVADOR DE;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);987.17;11352.46;0;0;11.5;TONELADA;11500;0;MARCA: ARGENCROPS;11.5;987.17;11352.46;DOLAR USA;FOB;AA(ARGENCROPS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063465X;1;44799;AUTO;0713.33.29.112B;ROME S.R.L.;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Israel;BS.AS. (CAPITAL);734.17;52860;17700;0;72;TONELADA;72000;0;MARCA: S/M;72;734.17;52860;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063476K;1;44799;OFIC;0713.33.29.111Z;ARGENFOOD SRL;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1010;72720;0;0;72;TONELADA;72000;0;MARCA: ARGENFOOD;72;1010;72720;DOLAR USA;FOB;AA(ARGENFOOD)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063504C;1;44799;OFIC;0713.33.29.112B;ARGENFOOD SRL;SALTA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);923.33;110800;20000;0;120;TONELADA;120000;0;MARCA: SIN MARCA;120;923.33;110800;DOLAR USA;CFR;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22031EC01000659H;1;44799;AUTO;0713.33.29.113D;LEJUY SRL;JUJUY;DEFINITIVO;26/08/2022;No disponible;CONSUMO;JUJUY;CAMION;Brasil;JUJUY;600;17400;0;0;29;TONELADA;29000;0;MARCA: S/M;29;600;17400;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22031EC01000660W;1;44799;OFIC;0713.33.29.111Z;ASOCIACION DE COOPERATIVAS ARGENTINAS CO;CAPITAL FEDERAL;DEFINITIVO;26/08/2022;No disponible;CONSUMO;JUJUY;CAMION;Argelia;JUJUY;1074.78;173040;34650;0;161;TONELADA;161000;0;MARCA: ACA;161;1074.78;173040;DOLAR USA;CFR;AA(ACA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22031EC01000660W;2;44799;OFIC;0713.33.29.111Z;ASOCIACION DE COOPERATIVAS ARGENTINAS CO;CAPITAL FEDERAL;DEFINITIVO;26/08/2022;No disponible;CONSUMO;JUJUY;CAMION;Argelia;JUJUY;1074.78;74160;14850;0;69;TONELADA;69000;0;MARCA: ACA;69;1074.78;74160;DOLAR USA;CFR;AA(ACA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22031EC01000662B;1;44799;OFIC;0713.33.29.111Z;ASOCIACION DE COOPERATIVAS ARGENTINAS CO;CAPITAL FEDERAL;DEFINITIVO;26/08/2022;No disponible;CONSUMO;JUJUY;CAMION;Argelia;JUJUY;1074.78;247200;49500;0;230;TONELADA;230000;0;MARCA: ACA;230;1074.78;247200;DOLAR USA;CFR;AA(ACA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002174H;1;44799;OFIC;0713.33.29.113D;SAFRA S.R.L.;CIUDAD AUTONOMA;DEFINITIVO;26/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;17400;0;0;29;TONELADA;29000;0;MARCA: S/M;29;600;17400;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063714F;1;44802;AUTO;0713.33.29.112B;DOBLE A S.A.;SALTA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);991;8720.8;1927.2;0;8.8;TONELADA;8800;0;MARCA: SM;8.8;991;8720.8;DOLAR USA;CFR;AA(SM)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063714F;2;44802;AUTO;0713.33.29.112B;DOBLE A S.A.;SALTA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);991;5450.5;1204.5;0;5.5;TONELADA;5500;0;MARCA: SM;5.5;991;5450.5;DOLAR USA;CFR;AA(SM)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063714F;3;44802;AUTO;0713.33.29.112B;DOBLE A S.A.;SALTA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);991;6639.7;1467.3;0;6.7;TONELADA;6700;0;MARCA: SM;6.7;991;6639.7;DOLAR USA;CFR;AA(SM)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063825X;1;44802;OFIC;0713.33.29.190Y;ALIMENTOS Y FORRAJES  S.A.;CAPITAL FEDERAL;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);345;15180;0;0;44;TONELADA;44000;0;MARCA: ALIMENTOS Y FORRAJES;44;345;15180;DOLAR USA;FOB;AA(ALIMENTOS Y FORRAJES)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01063992N;1;44802;OFIC;0713.33.29.190Y;ALICAMPO S.R.L.;PILAR;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);768.2;96025;22725;0;125;TONELADA;125000;0;MARCA: S/M;125;768.2;96025;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064005W;1;44802;OFIC;0713.33.29.112B;COPRONOR SA;CIUDAD AUTONOMA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);1040.11;52130.4;11522;0;50.12;TONELADA;50120;0;MARCA: S/M;50.12;1040.11;52130.4;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064005W;2;44802;OFIC;0713.33.29.112B;COPRONOR SA;CIUDAD AUTONOMA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);1040.11;78195.6;17283;0;75.18;TONELADA;75180;0;MARCA: S/M;75.18;1040.11;78195.6;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22029EC01005864R;1;44802;AUTO;0713.33.29.113D;NERGRAN S.R.L.;SALTA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;IGUAZU;CAMION;Brasil;IGUAZU;630;17640;0;0;28;TONELADA;28000;0;MARCA: S/M;28;630;17640;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22053EC03000157G;1;44802;AUTO;0713.33.29.111Z;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;29/08/2022;No disponible;CONSUMO;SALTA;CAMION;España;SALTA;950;87400;0;0;92;TONELADA;92000;0;MARCA: SIN MARCA;92;950;87400;DOLAR USA;FOB;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22053EC03000158H;1;44802;AUTO;0713.33.29.111Z;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;29/08/2022;No disponible;CONSUMO;SALTA;CAMION;España;SALTA;920;211600;0;0;230;TONELADA;230000;0;MARCA: SIN MARCA;230;920;211600;DOLAR USA;FOB;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002187L;1;44802;OFIC;0713.33.29.113D;LEGUMBRES ARGENTINAS SOCIEDAD ANONIMA;CAP FED;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;16800;0;0;28;TONELADA;28000;0;MARCA: S/M;28;600;16800;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002191G;1;44802;OFIC;0713.33.29.111Z;CORREA YONATHAN LUIS;MISIONES;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;550;15950;0;0;29;TONELADA;29000;0;MARCA: SIN MARCAS;29;550;15950;DOLAR USA;FCA;AA(SIN MARCAS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002192H;1;44802;OFIC;0713.33.29.113D;NERGRAN S.R.L.;SALTA;DEFINITIVO;29/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;617;17893;0;0;29;TONELADA;29000;0;MARCA: S/M;29;617;17893;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064150A;1;44803;OFIC;0713.33.29.113D;ALICAMPO S.R.L.;PILAR;DEFINITIVO;30/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Filipinas;BS.AS. (CAPITAL);997.56;49878;3622;0;50;TONELADA;50000;0;MARCA: S/M;50;997.56;49878;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064190E;1;44803;OFIC;0713.33.29.113D;ROME S.R.L.;SALTA;DEFINITIVO;30/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Argelia;BS.AS. (CAPITAL);690;165600;0;0;240;TONELADA;240000;0;MARCA: S/M;240;690;165600;DOLAR USA;FOB;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064324D;1;44803;OFIC;0713.33.29.190Y;ALIMENTOS Y FORRAJES  S.A.;CAPITAL FEDERAL;DEFINITIVO;30/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Israel;BS.AS. (CAPITAL);350;43750;0;0;125;TONELADA;125000;0;MARCA: ALIMENTOS Y FORRAJES;125;350;43750;DOLAR USA;FOB;AA(ALIMENTOS Y FORRAJES)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22031EC01000666F;1;44803;OFIC;0713.33.29.112B;ASOCIACION DE COOPERATIVAS ARGENTINAS CO;CAPITAL FEDERAL;DEFINITIVO;30/08/2022;No disponible;CONSUMO;JUJUY;CAMION;Emiratos Árabes Unidos;JUJUY;1045.22;24040;3100;0;23;TONELADA;23000;0;MARCA: ACA;23;1045.22;24040;DOLAR USA;CFR;AA(ACA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008109X;1;44803;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;30/08/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Bélgica;ROSARIO;950;109250;0;0;115;TONELADA;115000;0;MARCA: AGROFIN AGROCOMMODIT;115;950;109250;DOLAR USA;FOB;AA(AGROFIN AGROCOMMODIT)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002205C;1;44803;OFIC;0713.33.29.113D;SAFRA S.R.L.;CIUDAD AUTONOMA;DEFINITIVO;30/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;17400;0;0;29;TONELADA;29000;0;MARCA: S/M;29;600;17400;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064482X;1;44804;OFIC;0713.33.29.113D;ALICAMPO S.R.L.;PILAR;DEFINITIVO;31/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Filipinas;BS.AS. (CAPITAL);997.56;49878;3622;0;50;TONELADA;50000;0;MARCA: S/M;50;997.56;49878;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064486M;1;44804;OFIC;0713.33.29.113D;CONEXA FOODS AGRIBUSINESS S.A.;BUENOS AIRES;DEFINITIVO;31/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Argelia;BS.AS. (CAPITAL);652;97800;0;0;150;TONELADA;150000;0;MARCA: CONEXA FOODS;150;652;97800;DOLAR USA;FOB;AA(CONEXA FOODS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064494L;1;44804;OFIC;0713.33.29.113D;CONEXA FOODS AGRIBUSINESS S.A.;BUENOS AIRES;DEFINITIVO;31/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);646;32300;0;0;50;TONELADA;50000;0;MARCA: WHITE PLAIN;50;646;32300;DOLAR USA;FOB;AA(WHITE PLAIN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22008EC01011012T;1;44804;OFIC;0713.33.29.111Z;GERALA MARIO ERNESTO;SALTA;DEFINITIVO;31/08/2022;No disponible;CONSUMO;CAMPANA;ACUATICA;Portugal;CAMPANA;1010;50500;6535.4;0;50;TONELADA;50000;0;MARCA: S/MARCA;50;1010;50500;DOLAR USA;CFR;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064664K;1;44805;OFIC;0713.33.29.112B;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Turquía;BS.AS. (CAPITAL);860;43000;0;0;50;TONELADA;50000;0;MARCA: S/MARCA;50;860;43000;DOLAR USA;FOB;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064693M;1;44805;AUTO;0713.33.29.113D;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1109;138625;22000;0;125;TONELADA;125000;0;MARCA: S/M;125;1109;138625;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064732G;1;44805;OFIC;0713.33.29.111Z;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);950;66500;0;0;70;TONELADA;70000;0;MARCA: JEWELL;70;950;66500;DOLAR USA;FOB;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064732G;2;44805;OFIC;0713.33.29.111Z;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);950;4750;0;0;5;TONELADA;5000;0;MARCA: JEWELL;5;950;4750;DOLAR USA;FOB;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01064946N;1;44805;OFIC;0713.33.29.190Y;ALIMENTOS Y FORRAJES  S.A.;CAPITAL FEDERAL;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);350;15400;0;0;44;TONELADA;44000;0;MARCA: ALIMENTOS Y FORRAJES;44;350;15400;DOLAR USA;FOB;AA(ALIMENTOS Y FORRAJES)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008227J;1;44805;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;01/09/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Italia;ROSARIO;950;22800;0;0;24;TONELADA;24000;0;MARCA: BABY BEAN;24;950;22800;DOLAR USA;FOB;AA(BABY BEAN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008237K;1;44805;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;01/09/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Italia;ROSARIO;950;22800;0;0;24;TONELADA;24000;0;MARCA: BABY BEAN;24;950;22800;DOLAR USA;FOB;AA(BABY BEAN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008240E;1;44805;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;01/09/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Italia;ROSARIO;950;68400;0;0;72;TONELADA;72000;0;MARCA: BABY BEAN;72;950;68400;DOLAR USA;FOB;AA(BABY BEAN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008244X;1;44805;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;01/09/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Italia;ROSARIO;950;45600;0;0;48;TONELADA;48000;0;MARCA: BABY BEAN;48;950;45600;DOLAR USA;FOB;AA(BABY BEAN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22052EC01008248M;1;44805;OFIC;0713.33.29.113D;AGROFIN S.A.;CHARATA;DEFINITIVO;01/09/2022;No disponible;CONSUMO;ROSARIO;ACUATICA;Italia;ROSARIO;950;109250;0;0;115;TONELADA;115000;0;MARCA: BABY BEAN;115;950;109250;DOLAR USA;FOB;AA(BABY BEAN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22082EC01002218G;1;44805;AUTO;0713.33.29.112B;J. L. GURRIERI LEGUMBRES S.R.L.;PERICO;DEFINITIVO;01/09/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;16800;0;0;28;TONELADA;28000;0;MARCA: S/M;28;600;16800;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22094EC01000898V;1;44805;AUTO;0713.33.29.112B;POP COMPANY SOCIEDAD ANONIMA;SANTA ISABEL;DEFINITIVO;01/09/2022;No disponible;CONSUMO;No disponible;CAMION;Turquía;No disponible;930.12;7440.92;1780.13;0;8;TONELADA;8000;0;MARCA: SIN MARCA;8;930.12;7440.92;DOLAR USA;CFR;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065072E;1;44806;OFIC;0713.33.29.113D;AGRO DON MARIO S.A;BUENOS AIRES;DEFINITIVO;02/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Alemania;BS.AS. (CAPITAL);652.08;31300;7100;0;48;TONELADA;48000;0;MARCA: S/M;48;652.08;31300;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22074EC01002272H;1;44806;AUTO;0713.33.29.113D;CAS EXPORTACIONES SRL;TUCUMAN;DEFINITIVO;02/09/2022;No disponible;CONSUMO;TUCUMAN;CAMION;Chile;TUCUMAN;730.71;40920;2200;0;56;TONELADA;56000;0;MARCA: SIN MARCAS;56;730.71;40920;DOLAR USA;CPT;AA(SIN MARCAS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065262F;1;44809;AUTO;0713.33.29.112B;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Francia;BS.AS. (CAPITAL);1140.83;136900;21500;0;120;TONELADA;120000;0;MARCA: S/M;120;1140.83;136900;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065274X;1;44809;AUTO;0713.33.29.113D;OLEGA S A C I I A Y F;CAPITAL FEDERAL;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Francia;BS.AS. (CAPITAL);877.52;20182.98;4561.98;0;23;TONELADA;23000;0;MARCA: OLEGA;23;877.52;20182.98;DOLAR USA;CFR;AA(OLEGA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065274X;2;44809;AUTO;0713.33.29.113D;OLEGA S A C I I A Y F;CAPITAL FEDERAL;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Francia;BS.AS. (CAPITAL);877.52;22289.02;5038.02;0;25.4;TONELADA;25400;0;MARCA: OLEGA;25.4;877.52;22289.02;DOLAR USA;CFR;AA(OLEGA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065308G;1;44809;AUTO;0713.33.29.113D;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1109;138625;22000;0;125;TONELADA;125000;0;MARCA: S/M;125;1109;138625;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065339K;1;44809;AUTO;0713.33.29.112B;ARGENFOOD SRL;SALTA;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);918.18;40400;8000;0;44;TONELADA;44000;0;MARCA: SIN MARCA;44;918.18;40400;DOLAR USA;CFR;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
22001EC01065350D;1;44809;OFIC;0713.33.29.113D;CONEXA FOODS AGRIBUSINESS S.A.;BUENOS AIRES;DEFINITIVO;05/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);646;16150;0;0;25;TONELADA;25000;0;MARCA: WHITE PLAIN;25;646;16150;DOLAR USA;FOB;AA(WHITE PLAIN)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES BLANCOS OTROS
