Identificador;Item;Fecha;Estado;NCM-SIM;Exportador;Localidad;Tipo de Dato;Fecha Cumplido;Fecha Cargado;Destinación;Aduana;Via Transporte;País de Destino;Aduana de Destino;U$S Unitario;U$S FOB;Flete U$S;Seguro;Cantidad;Unidad;Kgs. Netos;Item;Marca - Sufijos;Cantidad;Unitario Divisa;FOB Divisa;Moneda Divisa;Condición de Venta;Marca o Descripcion;Descripcion Arancelaria
22001EC01033557H;1;44690;OFIC;0713.39.90.990N;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;09/05/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Colombia;BS.AS. (CAPITAL);698;17450;0;0;25;TONELADA;25000;0;MARCA: S/M;25;698;17450;DOLAR USA;FOB;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01033557H;2;44690;OFIC;0713.39.90.990N;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;09/05/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Colombia;BS.AS. (CAPITAL);698;17450;0;0;25;TONELADA;25000;0;MARCA: S/M;25;698;17450;DOLAR USA;FOB;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01034021R;1;44691;OFIC;0713.39.90.990N;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;10/05/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Colombia;BS.AS. (CAPITAL);890;44500;0;0;50;TONELADA;50000;0;MARCA: JEWELL;50;890;44500;DOLAR USA;FOB;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01000891J;1;44700;AUTO;0713.39.90.990N;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;19/05/2022;No disponible;CONSUMO;SALTA;CAMION;Chile;SALTA;890;49840;0;0;56;TONELADA;56000;0;MARCA: SIN MARCA;56;890;49840;DOLAR USA;FCA;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01037214B;1;44701;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;20/05/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);676.09;86539.52;22260.48;0;128;TONELADA;128000;0;MARCA: SWISS AGRO EXPORT SA;128;676.09;86539.52;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01001827L;1;44757;OFIC;0713.39.90.990N;LEJUY SRL;JUJUY;DEFINITIVO;15/07/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;713;20677;0;0;29;TONELADA;29000;0;MARCA: S/M;29;713;20677;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01001890L;1;44763;OFIC;0713.39.90.990N;LEJUY SRL;JUJUY;DEFINITIVO;21/07/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;713;20677;0;0;29;TONELADA;29000;0;MARCA: S/M;29;713;20677;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001265F;1;44768;AUTO;0713.39.90.990N;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;26/07/2022;No disponible;CONSUMO;SALTA;CAMION;Italia;SALTA;1290.12;32253;4997;0;25;TONELADA;25000;0;MARCA: ALIMAR;25;1290.12;32253;DOLAR USA;CFR;AA(ALIMAR)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001266G;1;44768;AUTO;0713.39.90.990N;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;26/07/2022;No disponible;CONSUMO;SALTA;CAMION;Italia;SALTA;1290.12;32253;4997;0;25;TONELADA;25000;0;MARCA: ALIMAR;25;1290.12;32253;DOLAR USA;CFR;AA(ALIMAR)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001271C;1;44768;AUTO;0713.39.90.990N;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;26/07/2022;No disponible;CONSUMO;SALTA;CAMION;Italia;SALTA;1288.52;32213;5037;0;25;TONELADA;25000;0;MARCA: ALIMAR;25;1288.52;32213;DOLAR USA;CFR;AA(ALIMAR)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01059114E;1;44783;OFIC;0713.39.90.990N;AGROLIT;CIUDAD AUTONOMA;DEFINITIVO;10/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Colombia;BS.AS. (CAPITAL);640;80800;0;0;126.25;TONELADA;126250;0;MARCA: S/MARCA;126.25;640;80800;DOLAR USA;FOB;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002097L;1;44790;OFIC;0713.39.90.990N;LEJUY SRL;JUJUY;DEFINITIVO;17/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;715;20735;0;0;29;TONELADA;29000;0;MARCA: S/M;29;715;20735;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01062893M;1;44798;AUTO;0713.39.90.990N;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;25/08/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);CAMION;Colombia;BS.AS. (CAPITAL);897;175811.1;48800;788.9;196;TONELADA;196000;0;MARCA: S/M;196;897;175811.1;DOLAR USA;CIF;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002164G;1;44798;OFIC;0713.39.90.990N;LEJUY SRL;JUJUY;DEFINITIVO;25/08/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;715;12155;0;0;17;TONELADA;17000;0;MARCA: S/M;17;715;12155;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002236G;1;44806;OFIC;0713.39.90.990N;ROME S.R.L.;SALTA;DEFINITIVO;02/09/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;600;16800;0;0;28;TONELADA;28000;0;MARCA: S/M;28;600;16800;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002237H;1;44806;OFIC;0713.39.90.990N;SAFRA S.R.L.;CIUDAD AUTONOMA;DEFINITIVO;02/09/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;550;15950;0;0;29;TONELADA;29000;0;MARCA: S/M;29;550;15950;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002238X;1;44806;OFIC;0713.39.90.990N;SAFRA S.R.L.;CIUDAD AUTONOMA;DEFINITIVO;02/09/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;550;15950;0;0;29;TONELADA;29000;0;MARCA: S/M;29;550;15950;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01066482K;1;44812;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;08/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);970;44620;9200;0;46;TONELADA;46000;0;MARCA: SWISS AGRO EXPORT SA;46;970;44620;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
